epoch (ms),Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Participants,Label,Category,Set
2023-01-01 00:00:00.000000,-0.19608932528030132,-0.8426895443223528,-0.2575121690926099,2.106258431932745,2.726360038905888,2.3562005402421295,C,dead,heavy,5
2023-01-01 00:00:00.200000,0.6442758301854883,0.03672242518317281,0.19212381729488381,4.736118583731564,-3.9519635572425518,-4.403975771968431,C,bench,heavy,5
2023-01-01 00:00:00.400000,-0.0908134841781294,0.24699795693913207,0.8722711541939963,0.05225854272966224,0.4006535093197785,-3.5290172780802287,C,bench,light,27
2023-01-01 00:00:00.600000,-0.2174383196669727,-0.493609946598484,-0.3973225950473087,-1.543703650061051,-0.29921672053139936,-2.462530797964575,B,ohp,heavy,35
2023-01-01 00:00:00.800000,0.445786535831876,-0.2513245912354578,-0.46664658554839655,-0.18485276710243692,1.9423280196988904,1.8495883974276106,B,dead,heavy,4
2023-01-01 00:00:01.000000,0.961373837008852,-0.9039004078572852,0.9847923446207516,-4.3486700018241775,-4.594424335417504,-0.45039139923238203,C,row,light,14
2023-01-01 00:00:01.200000,0.3794552177195285,0.9716051146086746,-0.308815710270812,-4.218311115000025,-0.6532047525566078,0.4257211211596621,C,dead,heavy,26
2023-01-01 00:00:01.400000,-0.13456685329875318,-0.916438023012975,-0.9859077689058533,-3.629122157052853,4.655998229015964,-2.478422365621263,A,dead,light,32
2023-01-01 00:00:01.600000,0.2849864101575428,0.750896306113954,0.789189788786766,0.5257537724969232,-3.5288504661091946,-2.4716127809720687,C,dead,heavy,36
2023-01-01 00:00:01.800000,0.16086640981074818,-0.6878215375424206,0.03616427836305558,-2.372934687843604,-4.819769837548911,-3.8607330944321037,C,bench,light,23
2023-01-01 00:00:02.000000,-0.9602743678391679,0.9677312024652269,0.24193470289497654,1.418282573524234,3.652858764331059,-0.9915403849272462,A,bench,heavy,40
2023-01-01 00:00:02.200000,-0.041342476167187225,-0.5031542684940566,0.45581645268209603,0.2296709446810139,-1.5480064838822374,-3.0322996001143743,A,row,heavy,49
2023-01-01 00:00:02.400000,0.07643665793170218,0.7750470648747105,0.12281365528673382,-3.7410088067529337,4.508102094282885,1.1333658784420173,B,squat,light,20
2023-01-01 00:00:02.600000,0.9521607798066292,-0.6073536369870713,0.22397804512920994,4.664933678984491,-2.600471235594611,-4.846935283663639,B,bench,heavy,25
2023-01-01 00:00:02.800000,-0.2204870886920225,0.06699815343407112,-0.202863730369657,1.3442562750245166,2.5781176167839615,1.5146320142428058,B,bench,light,9
2023-01-01 00:00:03.000000,0.7880273895637449,0.8750616097319972,0.6756659020708802,-1.5549349332562281,-4.053331010851176,3.612054425021368,A,squat,heavy,12
2023-01-01 00:00:03.200000,0.34834835328854874,0.6558901723749151,-0.681542495578819,-3.774037120142931,-0.8538396497025751,4.11525384790427,A,row,heavy,18
2023-01-01 00:00:03.400000,-0.21495771978548084,0.17230869863565323,0.8711344325104822,3.9785278078383293,2.971894942856016,-3.79288367791189,A,row,heavy,32
2023-01-01 00:00:03.600000,0.06209176597221089,0.42626768160249706,0.4304227470083535,1.674261761475032,-1.0789406403835788,1.9471697126263807,A,ohp,heavy,31
2023-01-01 00:00:03.800000,0.3262548785665962,0.6222099418851894,-0.303073804450388,-3.20049595253825,-1.151723440720577,-3.6030475941879017,C,row,heavy,23
2023-01-01 00:00:04.000000,-0.2911293515476041,0.8645733375958962,0.8511661702548732,-2.20228630223768,-0.6498775023669907,4.876800711287212,A,ohp,light,18
2023-01-01 00:00:04.200000,-0.20447702126282175,0.8023286900622708,0.25228122845345324,-2.4067607814225167,4.8403892475838415,-3.4721237715559203,B,row,light,3
2023-01-01 00:00:04.400000,-0.13443050874205698,0.45909413160510093,-0.2360984124547303,-2.7961631865722425,0.45201635601673207,-0.4219181031822057,A,dead,light,2
2023-01-01 00:00:04.600000,-0.7624614088164856,-0.43272503507436766,-0.6175585852429655,3.575487371264849,0.009795069440027504,-3.18701019747588,A,ohp,light,38
2023-01-01 00:00:04.800000,0.09102932757536819,-0.20221519505594898,0.8577963132037465,2.1661363535785236,1.2852206010562721,-0.973692225935463,B,dead,heavy,15
2023-01-01 00:00:05.000000,0.02186792250441827,0.42083044058735863,0.02938118678801338,-3.117589276667887,2.1160071288350126,2.415482607616485,A,squat,heavy,33
2023-01-01 00:00:05.200000,0.19552997252087634,0.5480840793594539,-0.6040323935971839,1.4912753149585765,4.291101945222067,-2.6178383437331454,C,squat,heavy,33
