epoch (ms),Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Participants,Label,Category,Set
2019-01-18 16:45:48.000,0.136,0.744,0.585,0.0367999999999999,-1.6707999999999998,-0.2682,D,squat,medium,2
2019-01-18 16:45:48.200,0.134,0.7545,0.6005,2.0002,-2.9758,0.549,D,squat,medium,2
2019-01-18 16:45:48.400,0.1356666666666666,0.7596666666666666,0.5966666666666667,1.0608,-3.0734000000000004,0.8782,D,squat,medium,2
2019-01-18 16:45:48.600,0.1475,0.771,0.6065,0.9024,-2.4268,-0.2438,D,squat,medium,2
2019-01-18 16:45:48.800,0.1406666666666666,0.7653333333333334,0.601,0.2193999999999999,-1.5122,-1.0974,D,squat,medium,2
2019-01-18 16:45:49.000,0.13,0.752,0.6014999999999999,-4.4756,-1.4512,0.1586,D,squat,medium,2
2019-01-18 16:45:49.200,0.132,0.7513333333333333,0.605,5.7926,-2.866,-0.1951999999999999,D,squat,medium,2
2019-01-18 16:45:49.400,0.1335,0.757,0.603,2.1708000000000003,-3.0976,1.061,D,squat,medium,2
2019-01-18 16:45:49.600,0.1446666666666666,0.7643333333333334,0.599,3.1218,-3.8902,0.8172,D,squat,medium,2
2019-01-18 16:45:49.800,0.15,0.769,0.6105,-3.878,-0.7684,-1.1342,D,squat,medium,2
2019-01-18 16:45:50.000,0.1306666666666666,0.7636666666666666,0.5956666666666667,1.6098,-1.0244,-0.817,D,squat,medium,2
2019-01-18 16:45:50.200,0.1235,0.7525,0.589,2.4024,-1.6706,0.6464000000000001,D,squat,medium,2
2019-01-18 16:45:50.400,0.1313333333333333,0.7676666666666666,0.5976666666666667,2.6708,-2.4634,1.4634,D,squat,medium,2
2019-01-18 16:45:50.600,0.1395,0.7695000000000001,0.5925,1.2928,-2.256,1.4024,D,squat,medium,2
2019-01-18 16:45:50.800,0.143,0.771,0.588,3.9632,-2.7318,0.134,D,squat,medium,2
2019-01-18 16:45:51.000,0.142,0.778,0.583,3.0,-2.3658,-0.1952,D,squat,medium,2
2019-01-18 16:45:51.200,0.132,0.771,0.5656666666666667,1.427,-2.0244,0.7682,D,squat,medium,2
2019-01-18 16:45:51.400,0.1445,0.7805,0.567,0.8172,-1.1584,1.3414,D,squat,medium,2
2019-01-18 16:45:51.600,0.1376666666666667,0.735,0.5276666666666667,-0.0975999999999999,-1.3658,1.1342,D,squat,medium,2
2019-01-18 16:45:51.800,0.123,0.7115,0.5355000000000001,-3.2074,0.7438,0.6218,D,squat,medium,2
2019-01-18 16:45:52.000,0.1153333333333333,0.7256666666666667,0.5353333333333333,-6.1342,0.39,0.5246000000000001,D,squat,medium,2
2019-01-18 16:45:52.200,0.1345,0.7304999999999999,0.5985,-13.536600000000002,2.6952000000000003,-3.0002000000000004,D,squat,medium,2
2019-01-18 16:45:52.400,0.1046666666666666,0.7120000000000001,0.63,7.3048,-3.0734,-1.9878,D,squat,medium,2
2019-01-18 16:45:52.600,0.105,0.7625,0.644,-5.268000000000001,-0.7682,-2.5976,D,squat,medium,2
2019-01-18 16:45:52.800,0.111,0.7523333333333334,0.6786666666666666,-2.8294,-2.3048,-1.6342,D,squat,medium,2
2019-01-18 16:45:53.000,0.099,0.786,0.7375,-2.4512,1.061,-2.9144,D,squat,medium,2
2019-01-18 16:45:53.200,0.106,0.867,0.8086666666666668,6.8538,-7.634,0.0975999999999999,D,squat,medium,2
2019-01-18 16:45:53.400,0.108,0.867,0.7925,11.3904,-5.5,1.878,D,squat,medium,2
2019-01-18 16:45:53.600,0.119,0.8370000000000001,0.7079999999999999,5.1096,-0.6708000000000001,2.1342000000000003,D,squat,medium,2
2019-01-18 16:45:53.800,0.1235,0.8274999999999999,0.656,9.1586,-1.4392,1.5732,D,squat,medium,2
2019-01-18 16:45:54.000,0.0936666666666666,0.6896666666666667,0.5086666666666667,13.512,0.3536000000000001,-0.1830000000000001,D,squat,medium,2
2019-01-18 16:45:54.200,0.0465,0.5055000000000001,0.3185,7.878,-2.2804,0.6342000000000001,D,squat,medium,2
2019-01-18 16:45:54.400,0.0833333333333333,0.8153333333333334,0.485,7.7928,-3.2924,3.756,D,squat,medium,2
2019-01-18 16:45:54.600,0.121,0.8045,0.4805,-3.4024,-2.4146,2.5242,D,squat,medium,2
2019-01-18 16:45:54.800,0.1246666666666666,0.7993333333333333,0.5123333333333333,-2.3414,-2.4756,2.5854,D,squat,medium,2
2019-01-18 16:45:55.000,0.1195,0.7184999999999999,0.4475,5.3782,-4.9512,2.7684,D,squat,medium,2
2019-01-18 16:45:55.200,0.112,0.656,0.4376666666666667,-21.0,-3.0364000000000004,-1.5854,D,squat,medium,2
2019-01-18 16:45:55.400,0.1305,0.7170000000000001,0.538,-1.3416,-1.9756,0.122,D,squat,medium,2
2019-01-18 16:45:55.600,0.1283333333333333,0.8210000000000001,0.6166666666666667,-8.2072,1.7560000000000002,-4.5364,D,squat,medium,2
2019-01-18 16:45:55.800,0.12,0.8354999999999999,0.6825,-6.378,0.5,-4.2196,D,squat,medium,2
2019-01-18 16:45:56.000,0.1233333333333333,0.8603333333333333,0.7203333333333334,-1.7192,-3.3902,-2.134,D,squat,medium,2
2019-01-18 16:45:56.200,0.114,0.953,0.7915000000000001,-1.0854,1.7563999999999995,-1.7440000000000002,D,squat,medium,2
2019-01-18 16:45:56.400,0.0999999999999999,0.8596666666666666,0.7563333333333334,7.3292,-3.8538,2.0974,D,squat,medium,2
2019-01-18 16:45:56.600,0.097,0.8260000000000001,0.715,15.121800000000002,-2.8172,3.2804,D,squat,medium,2
2019-01-18 16:45:56.800,0.1033333333333333,0.8196666666666667,0.6176666666666667,19.512,-3.756,6.1706,D,squat,medium,2
2019-01-18 16:45:57.000,0.0745,0.6265000000000001,0.407,15.512200000000002,-2.366,-0.6462,D,squat,medium,2
2019-01-18 16:45:57.200,0.0836666666666666,0.6003333333333334,0.338,-10.683,-0.8782000000000002,7.5854,D,squat,medium,2
2019-01-18 16:45:57.400,0.149,0.868,0.5335000000000001,4.0,-2.4024,-1.1951999999999998,D,squat,medium,2
2019-01-18 16:45:57.600,0.142,0.8386666666666667,0.4989999999999999,7.2438,-6.317,-0.1707999999999999,D,squat,medium,2
2019-01-18 16:45:57.800,0.1305,0.802,0.458,-0.4268,-5.2928,0.0002,D,squat,medium,2
2019-01-18 16:45:58.000,0.1146666666666666,0.7196666666666666,0.4096666666666667,-6.5122,-2.756,-0.5974,D,squat,medium,2
2019-01-18 16:45:58.200,0.112,0.658,0.42,-17.8292,-1.2684,-0.7194,D,squat,medium,2
2019-01-18 16:45:58.400,0.108,0.737,0.5376666666666666,-12.926999999999998,3.1708,-3.0,D,squat,medium,2
2019-01-18 16:45:58.600,0.1139999999999999,0.809,0.6485000000000001,-0.9024,0.0732,-3.4634,D,squat,medium,2
2019-01-18 16:45:58.800,0.1043333333333333,0.8033333333333333,0.6633333333333334,-7.7682,-2.195,0.6828000000000001,D,squat,medium,2
2019-01-18 16:45:59.000,0.1375,0.868,0.7525,-0.0852,-3.6706,-0.305,D,squat,medium,2
2019-01-18 16:45:59.200,0.1273333333333333,0.9513333333333334,0.7943333333333333,2.4392000000000005,-2.7562,-0.7196,D,squat,medium,2
2019-01-18 16:45:59.400,0.133,0.859,0.76,5.939,-1.829,0.5244,D,squat,medium,2
2019-01-18 16:45:59.600,0.1143333333333333,0.816,0.676,19.305,-3.2442,3.4024,D,squat,medium,2
2019-01-18 16:45:59.800,0.135,0.855,0.5960000000000001,18.5732,-3.8902,2.4880000000000004,D,squat,medium,2
2019-01-18 16:46:00.000,0.0916666666666666,0.6833333333333332,0.434,11.622,1.5366,-0.4266000000000002,D,squat,medium,2
2019-01-18 16:46:00.200,0.065,0.534,0.3025,-6.3294,5.817,4.1952,D,squat,medium,2
2019-01-18 16:46:00.400,0.1119999999999999,0.8466666666666667,0.4753333333333333,1.8294,-4.927,-0.0365999999999999,D,squat,medium,2
2019-01-18 16:46:00.600,0.11,0.8405,0.477,5.0246,-3.5729999999999995,-0.061,D,squat,medium,2
